,Comment,Classes,ner_text,ner_comments
1159,thanks ryan reportlittle detail particularity task would improve weekly reportingwill expound coming weekstandup meeting ,Very Poor,weekly,weekly
1160,meet 9th august see get youtemporary solution need write clear statement ,Very Poor,9th august,9th august
1161,collaborative development area focus week ,Very Poor,,
1162,work well donewill expect learn different tool used mtn monitor mobile money ,Very Poor,,
1163,done ,Very Poor,,
1164,good implementation stored procedure anddesktop environment still improving term using proper design principle ,Very Poor,,
1165,take accountability everything done dependable ,Very Poor,,
1166,one important part job figuring could problem solve whatever information available understanding error could mean key use documentation also important whydecided let joshua take task without much help good progress made ,Very Poor,one,one
1167,little work needed regard communication timely response task generallot archived ,Very Poor,,
1168,alvin able implement unet segmentation model necrosis upgraded library used tensorflow 1 0 tensorflow 2 0 optimized operation ,Very Poor,,
1169,thank hillary good progress registered farencourage engage colleague synchronise effort good order allow u conclude assignment time ,Good,,
1170,progressive task handled introduced networking ,Very Poor,,
1171,thank jedidiah staying focused attaining objective projectencourage engage remaining teammate synchronise work even turning daily standup meeting make u move fast project completion ,Very Poor,daily,daily
1172,progressive ,Neutral,,
1173,demo nmap fellow intern ,Very Poor,,
1174,progressive ,Neutral,,
1175,valuable insight user experience feedback also good job fix taken indicates familiar react basic ,Very Poor,,
1176,completed ,Excellent,,
1177,keep participation meeting good job investigation ,Good,,
1178,good display design competence figma task looking forward seeing contribution figma ,Very Poor,,
1179,progressive ,Neutral,,
1180,nickson able acquire new skillset introduced week ,Very Poor,nickson,nickson
1181,good job m tumuhairwe ishardworking reliable individual ,Good,,
1182,technically challenged laptop although followed recorded video catch ,Very Poor,,
1183,happy effort taken increase work rate ,Very Poor,,
1184,gerald write basic php script well mysqli manipulate database using php mysql obtained knowledge deploying software tolive server github ,Very Poor,gerald,gerald
1185,gerald acquired knowledge integrate mobile money credit payment intoweb system ,Very Poor,gerald acquired knowledge integrate mobile,gerald acquired knowledge integrate mobile
1186,time experience help get comfortable using postman api testing documentation everything wassuccess ,Very Poor,,
1187,performed well commend research skill ,Very Poor,,
1188,well done keep ,Very Poor,,
1189,challenged github since collaborative development alsonew area cheptegei ,Very Poor,challenged github,challenged github
1190,good performance week accomplished task weekly sprint contributed good idea revise existing page make functional display good presentation skill ,Good,weekly,weekly
1191,whatever assignment given either data collection data analysis programming interface accomplishes assignment time ,Very Poor,,
1192,progressive field hand mostly graphic using git ,Very Poor,,
1193,patricia obtained knowledge makepayment integration php html j using fluueterwave receive mobile money airtel money credit card payment web portal ,Very Poor,,
1194,progressive ,Neutral,,
1195,iann madevery good presentation entire project academic supervisor showcasing cancer prediction tool madefew comment observation area could changed overall impressed outcome project ,Very Poor,iann madevery,iann madevery
1196,good progress registered nabilencourage keep havegreat deal write home experience ,Very Poor,,
1197,tuyizere acquired knowledge basic php html also push source code github still need practice perfect come solving real world problem ,Very Poor,,
1198,tuyizere write simple ussd sm application using php mysqli driver support africa stalking gateway ,Very Poor,,
1199,lydia new programming web learning one concept attime continues practicing program web ,Very Poor,lydia new programming,lydia new programming
1200,lydia acquired database knowledge write simple sql query like select insert order desc asc group count sum update delete etc manipulate database using php mysqli driver ,Very Poor,"lydia, desc asc","lydia, desc asc"
1201,lydia got problem understanding sm ussd needed realize concentrate make workwill dopersonal follow ,Very Poor,lydia,lydia
1202,rwebikire acquired knowledge writing simple ussd application using mysql php support africa stalking getway ,Very Poor,africa,africa
1203,ahimbisibwe acquired knowledge writing simple sm application still hasproblem working ussd learning isprocess ,Very Poor,,
