Comment,Classes
indicated progress task assigned intern week 6 reviewed completion acknowledged ,Very Poor
indicated progress task assigned intern week 6 reviewed completion acknowledged ,Very Poor
indicated progress task assigned intern week 7 reviewed completion acknowledged ,Very Poor
joshua successfully finished internship supposed write end internship report explaining detail new skill acquiredalso encourage use networking equipment stratcom practice ,Poor
intern progressing well happy output ,Very Poor
take accountability everything done dependable ,Very Poor
take accountability everything done dependable ,Very Poor
take accountability everything done dependable ,Very Poor
take accountability everything done dependable ,Very Poor
improved communication supervisor asked question stuck ,Very Poor
